Geographical region,Country of nationality,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Africa Sub-Saharan,Liberia,539,497,458,430,359,340,329,347,344,287,316,285,293
Africa North,Libya,"14,808","16,410","11,774","16,467","15,602","20,051","3,395","10,740","16,484","13,723","2,621","1,933","2,404"
Europe Other,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0
EU 8,Lithuania,4,1,3,2,3,0,0,0,0,0,0,0,0
EU 14,Luxembourg,0,0,0,0,0,0,0,1,0,0,0,0,0
Asia East,Macau,105,104,117,141,142,174,185,190,217,260,300,312,344
Europe Other,Macedonia,"2,813","3,311","3,548","3,476","3,253","3,240","3,443","3,159","3,476","3,169","3,175","3,320","3,558"
Africa Sub-Saharan,Madagascar,410,388,430,433,352,384,387,384,401,393,434,422,586
Africa Sub-Saharan,Malawi,"1,452","2,702","3,480","2,246","2,159","1,962","1,866","1,779","1,864","1,596","1,670","1,661","1,739"
Asia South East,Malaysia,"7,910","8,571","10,338","9,912","8,941","8,606","8,914","9,443","11,522","12,240","11,597","9,886","9,245"
Asia South,Maldives,143,159,114,131,98,100,102,83,121,131,119,109,131
Africa Sub-Saharan,Mali,614,685,538,571,452,415,371,395,393,387,372,363,417
EU Other,Malta,33,9,1,0,0,0,0,0,0,0,1,0,0
Oceania,Marshall Islands,2,0,1,0,0,0,0,1,0,1,1,1,0
America Central and South,Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa North,Mauritania,302,339,278,202,135,151,197,216,261,225,218,213,254
Africa Sub-Saharan,Mauritius,"3,592","3,129","2,726","2,505","1,933","1,589","1,213",913,840,860,764,754,758
Africa Sub-Saharan,Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0
America Central and South,Mexico,"2,231","2,462","2,516","2,330","1,835","1,940","2,010","1,923","1,945","2,232","2,452","2,421","2,335"
Oceania,Micronesia,0,0,2,1,0,1,2,0,0,1,0,1,0
Europe Other,Moldova,"3,276","3,531","3,122","1,691","1,594","1,576","1,683","1,563","1,584","1,340","1,321","1,297","1,599"
Europe Other,Monaco,2,4,6,7,2,10,11,15,7,15,13,12,8
Asia East,Mongolia,"1,217","1,534","2,687","1,598","1,817","1,490","1,508","2,062","2,053","1,754","1,801","2,015","1,894"
Europe Other,Montenegro,z,z,7,527,"1,122","1,878","1,790","1,666","1,979","1,400","1,096","1,196","1,277"
Other,Montserrat (British),0,1,0,1,1,0,0,0,0,0,0,0,0
Africa North,Morocco,"14,586","15,173","11,210","9,830","10,434","10,493","12,066","13,215","14,514","14,722","16,262","16,496","17,370"
Africa Sub-Saharan,Mozambique,871,793,659,713,715,718,669,974,"1,020","1,175","1,006",827,930
Africa Sub-Saharan,Namibia,313,201,170,181,146,137,129,116,100,152,135,121,159
Oceania,Nauru,0,2,2,0,1,0,0,0,0,0,0,0,0
Asia South,Nepal,"11,613","18,021","13,299","7,111","22,482","14,692","12,050","9,642","8,056","8,584","9,107","9,866","10,132"
EU 14,Netherlands,8,2,3,4,2,0,0,2,1,0,0,1,0
America Central and South,Netherlands Antilles,0,0,0,0,0,0,z,z,z,z,z,z,z
Oceania,New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,New Zealand,"11,604","12,059","11,126","9,639","6,775","7,099","6,824","6,156","6,236","6,739","8,098","6,714","6,440"
America Central and South,Nicaragua,20,22,29,33,22,25,24,12,15,21,34,22,31
Africa Sub-Saharan,Niger,174,207,237,176,153,162,155,247,177,154,137,118,139
Africa Sub-Saharan,Nigeria,"138,935","119,926","117,557","112,737","116,391","125,765","137,492","128,831","131,156","122,967","103,674","72,690","71,266"
Oceania,Niue,0,0,0,0,1,1,0,0,0,0,1,0,0
Oceania,Norfolk Island,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0
Europe Other,Norway,2,4,1,13,3,2,0,0,2,0,0,0,1
